City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,flying fish cove,-10.4217,105.6791,25.82,94,100,6.17,CX,1719747213
83,orsa,54.5153,30.4053,26.01,56,5,2.29,BY,1719747183
84,kirakira,-10.4544,161.9205,26.08,88,54,5.8,SB,1719747219
85,gorey,52.6747,-6.2925,15.32,70,92,3.08,IE,1719747220
86,swakopmund,-22.6833,14.5333,15.55,82,19,2.24,NA,1719747161
87,ixtapa,20.7,-105.2,25.13,100,75,0.0,MX,1719747224
88,cihuatlan,19.2366,-104.5651,22.06,94,99,1.03,MX,1719747226
89,castillos,-34.1667,-53.8333,3.03,72,16,3.71,UY,1719747228
90,paracuru,-3.41,-39.0306,27.28,73,88,5.09,BR,1719747230
91,pak phanang,8.3511,100.202,28.01,79,68,1.97,TH,1719747232
92,iskateley,67.6803,53.1512,10.19,68,100,4.06,RU,1719747234
93,tsiombe,-25.3,45.4833,27.22,20,0,1.01,MG,1719747236
94,umm kaddadah,13.6017,26.6876,36.73,27,100,5.44,SD,1719747238
95,westport,41.1415,-73.3579,24.7,88,100,2.24,US,1719747006
96,skeldon,5.8833,-57.1333,24.18,94,93,0.83,GY,1719747241
97,hilo,19.7297,-155.09,20.9,82,40,2.57,US,1719747243
98,mahina,-17.5065,-149.489,25.87,61,0,3.09,PF,1719747028
99,puerto ayora,-0.7393,-90.3518,20.86,98,16,0.45,EC,1719747248
100,north bend,43.4065,-124.2243,16.03,94,100,0.0,US,1719747250
101,tazacorte,28.629,-17.9293,23.42,81,75,5.14,ES,1719747252
102,fisterra,42.9049,-9.2629,17.64,88,53,2.15,ES,1719747254
103,chonchi,-42.6128,-73.8092,9.56,95,100,2.38,CL,1719747257
104,cabo san lucas,22.8909,-109.9124,24.54,65,1,4.1,MX,1719747194
105,lake charles,30.2131,-93.2044,26.99,96,0,1.54,US,1719747018
106,hamilton,39.1834,-84.5333,23.97,95,0,0.89,US,1719747263
107,aykhal,66.0,111.5,17.51,52,94,1.23,RU,1719747265
108,usinsk,65.9939,57.5281,13.53,88,100,4.71,RU,1719747267
109,south grafton,-29.7,152.95,18.59,74,100,1.64,AU,1719747019
110,stanley,54.868,-1.6985,14.6,73,100,4.51,GB,1719747270
111,albany,42.6001,-73.9662,24.24,82,100,0.45,US,1719747272
112,mwene-ditu,-7.0,23.45,32.4,21,68,2.25,CD,1719747276
113,arkalyk,50.2486,66.9114,17.41,52,82,7.05,KZ,1719747277
114,taoudenni,22.6783,-3.9836,46.22,6,0,6.12,ML,1719747279
115,osmanabad,18.1667,76.05,28.66,63,100,6.17,IN,1719747281
116,palikir - national government center,6.9248,158.1611,25.41,94,100,2.57,FM,1719747283
117,hami,42.8,93.45,36.19,15,31,3.65,CN,1719747284
118,dryden,49.7833,-92.7503,7.16,87,0,3.09,CA,1719747286
119,beira,-19.8436,34.8389,28.05,83,20,3.09,MZ,1719747288
120,whitehorse,60.7161,-135.0538,15.43,62,75,4.12,CA,1719747162
